id,name,full_name,aliases,release_year,category_code,category,anatomy_primary,anatomy_target,modality_type,dimension,temporal,representation,scale,annotation_types,tasks,split_summary,access_level,license,paper_title,paper_venue,paper_doi,data_repository,data_url,data_doi,data_version,family_type,family_parent,family_related,verification_status,verification_date,notes
0011,BUS_UC,BUS_UC Breast Ultrasound Dataset,,2023,00,Breast,Breast,Breast tumor,Ultrasound,2D,static,image,image=811 | pair=811,classification | segmentation,classification | segmentation,,open,CC BY 4.0,Memory-efficient transformer network with feature fusion for breast tumor segmentation and classification task,Engineering Applications of Artificial Intelligence,10.1016/j.engappai.2023.107292,Mendeley Data,https://data.mendeley.com/datasets/3ksd7w7jkx/1,10.17632/3ksd7w7jkx.1,1,primary,,,verified,2026-09-04,"The release contains 811 image-mask pairs, comprising 358 benign and 453 malignant images. The Mendeley page states that the source images were obtained from Ultrasound Cases and were subsequently annotated by an experienced radiologist. Patient identifiers, patient count, acquisition device, diagnostic reference standard, and an official split are not reported. One checked public mirror contains a one-pixel image-mask dimension mismatch for file 0319.png."
0012,BUS-UCLM,BUS-UCLM: Breast Ultrasound Lesion Segmentation Dataset,,2024,00,Breast,Breast,Breast lesion,B-mode | Color Doppler,2D,static,image,patient=38 | image=683 | pair=683,classification | segmentation,classification | segmentation,,open,CC BY 4.0,BUS-UCLM: Breast ultrasound lesion segmentation dataset,Scientific Data,10.1038/s41597-025-04562-3,Mendeley Data,https://data.mendeley.com/datasets/7fvgj4jsp7/3,10.17632/7fvgj4jsp7.3,3,primary,,,verified,2026-09-04,"The dataset contains 683 images from 38 patients: 419 normal, 174 benign, and 90 malignant. Some released images contain Doppler information; the public metadata identify 37 Doppler-marked records. Version 3 is licensed under CC BY 4.0, whereas version 1 used CC BY-NC 3.0. The public v3 PNG files have dimensions of 856 x 606, while the paper reports 768 x 1024; this discrepancy remains unresolved. Normal images have all-background masks."
0013,US3M,Multimodal Breast Ultrasound Dataset US3M,,2024,00,Breast,Breast,Breast tumor,B-mode | Color Doppler | Elastography,2D,static,image,patient=248 | image=1532,classification,classification,,open,CC BY-NC 4.0,TDF-Net: Trusted Dynamic Feature Fusion Network for breast cancer diagnosis using incomplete multimodal ultrasound,Information Fusion,10.1016/j.inffus.2024.102592,Kaggle,https://www.kaggle.com/datasets/timesxy/multimodal-breast-ultrasound-dataset-us3m,,1,primary,,,verified,2026-09-04,"All 248 released patient folders contain all three ultrasound modalities. Missing modalities in the TDF-Net study are simulated experimentally rather than intrinsically absent from the public dataset. The release contains no segmentation masks, clinical-variable table, or official train/validation/test split."
0014,ALN-Ultra,Early-stage Breast Cancer Ultrasound Dataset with Paired Images and Videos for Axillary Lymph Node Metastasis Prediction,,2025,00,Breast,Breast,Breast cancer,Ultrasound,,mixed,image | video,patient=257,classification,classification,,controlled,,,,,Zenodo,https://zenodo.org/records/18483501,10.5281/zenodo.18483501,v1,primary,,,partial,2026-09-04,"ALN-Ultra is described as paired ultrasound image/video data from 257 patients with early-stage breast cancer for axillary lymph node metastasis prediction. The current Zenodo replacement record is publicly visible, but its files are restricted. Exact image and video counts, file formats, detailed label schema, and official splits therefore cannot currently be verified. The original 2025 Zenodo record was 10.5281/zenodo.15003119. The current live replacement page does not display an explicit license value in its Rights section, so the license is recorded as null rather than inferred from earlier metadata."
0015,BUS-CoT,A Chain-of-thought Reasoning Breast Ultrasound Dataset Covering All Histopathology Categories,,2026,00,Breast,Breast,Breast lesion,B-mode | Doppler | Elastography,2D,static,image,patient=4838 | lesion=11850 | image=11439,classification | segmentation | grading | reasoning | reports,classification | segmentation | grading | reasoning | report_generation,,open,,A Chain-of-thought Reasoning Breast Ultrasound Dataset Covering All Histopathology Categories,Scientific Data,10.1038/s41597-026-06702-9,Figshare,https://doi.org/10.6084/m9.figshare.30838715,10.6084/m9.figshare.30838715,,aggregate,,,verified,2026-09-04,"BUS-CoT is an aggregate dataset constructed from peer-reviewed publications, existing public breast ultrasound datasets, and peer-reviewed online case repositories including Radiopaedia and Eurorad. It should therefore be counted as an aggregate resource rather than as a new primary acquisition family. BUS-Expert is the complete release, while BUS-Lesion is a curated subset. BUS-Lesion contains 5,163 images, including 2,694 benign and 2,469 malignant images, with 4,338 images in the released training split and 825 images in the released test split. The dataset paper reports five ultrasound device types. The Figshare resource is openly available, but the dataset-specific license was not independently verified here; the article license should not be assumed to be the dataset license."
0101,DDTI,Digital Database of Thyroid Images,,2015,01,Thyroid,Thyroid,Thyroid nodule,B-mode,2D,static,image,case=389 | image=637,segmentation | grading,segmentation | grading,,open,,An open access thyroid ultrasound image database,10th International Symposium on Medical Information Processing and Analysis,10.1117/12.2073532,CIM@LAB,https://cimalab.unal.edu.co/projects/detail/20/,,,primary,,,verified,2026-09-04,"The original paper uses several different counting conventions: it introduces 389 study cases, while the Results section reports 347 ultrasound images from 299 patients. A widely used processed segmentation release contains 637 images. The atlas therefore records the original case count and the processed image count separately rather than treating them as equivalent. The database also contains diagnostic metadata including Bethesda/pathology information, but these are not encoded here as a standardized classification task because the exact label mapping differs across public processed releases."
0102,TN-SCUI2020,Thyroid Nodule Segmentation and Classification in Ultrasound Images 2020,,2020,01,Thyroid,Thyroid,Thyroid nodule,B-mode,2D,static,image,image=4554,classification | segmentation,classification | segmentation,image: training=3644 | test=910,open,,,,,Grand Challenge,https://tn-scui2020.grand-challenge.org/,,,primary,,,verified,2026-09-04,"The dataset was released for the MICCAI 2020 TN-SCUI challenge. Each image is associated with a benign/malignant label and a detailed nodule delineation. The Zenodo DOI 10.5281/zenodo.3715942 identifies the accepted challenge design document rather than a peer-reviewed dataset paper or the image archive itself, so it is not entered under paper.doi or data.doi."
0103,KFGNet dataset,KFGNet Thyroid Ultrasound Video Dataset,,2022,01,Thyroid,Thyroid,Thyroid nodule,B-mode,2D,cine,video,video=3668 | frame=23219,detection | classification,detection | classification,,open,,Key-frame Guided Network for Thyroid Nodule Recognition Using Ultrasound Videos,Medical Image Computing and Computer Assisted Intervention (MICCAI),10.1007/978-3-031-16440-8_23,GitHub / Baidu Netdisk,https://github.com/NeuronXJTU/KFGNet,,,primary,,,verified,2026-09-04,"The full dataset contains 3,668 B-mode ultrasound videos. For key-frame localization, 23,219 frames were extracted to train a Faster R-CNN-based nodule detector, and the 3,668 videos were split into 2,648 training, 504 validation, and 516 test videos. The paper reports a separate 244-video benign/malignant classification subset from the localization test cohort because the full label distribution was highly imbalanced. The repository provides the ultrasound data through Baidu Netdisk and does not state a formal dataset license. Localization is represented by the frame-level bounding-box detection annotations rather than as a separate native task."
0104,TG3K,Thyroid Gland 3K,,2022,01,Thyroid,Thyroid,Thyroid gland,B-mode,2D,static,image,image=3585,segmentation,segmentation,,open,,Thyroid Region Prior Guided Attention for Ultrasound Segmentation of Thyroid Nodules,Computers in Biology and Medicine,10.1016/j.compbiomed.2022.106389,GitHub,https://github.com/haifangong/TRFE-Net-for-thyroid-nodule-segmentation,,,derived,0109,,verified,2026-09-04,"TG3K is not an independent clinical acquisition. Gong et al. constructed it by extracting 2D frames from the 16 tracked 3D thyroid ultrasound records introduced by Wunderling et al. (2017), retaining frames in which the thyroid gland occupies more than 6% of the image. The 2022 paper reports 3,585 retained images. Some secondary resources report 3,583 frames; the atlas uses the count stated in the primary 2022 paper. TG3K is derived from the Thyroid Segmentation in Ultrasonography Dataset / 3DThyroid, which is cataloged as atlas entry 0109."
0105,TN3K,Thyroid Nodule 3K,Thyroid Nodule Region Segmentation Dataset,2022,01,Thyroid,Thyroid,Thyroid nodule,B-mode,2D,static,image,patient=2421 | image=3493,segmentation,segmentation,image: training=2879 | test=614,open,,Thyroid Region Prior Guided Attention for Ultrasound Segmentation of Thyroid Nodules,Computers in Biology and Medicine,10.1016/j.compbiomed.2022.106389,GitHub,https://github.com/haifangong/TRFE-Net-for-thyroid-nodule-segmentation,,,primary,,,verified,2026-09-04,"TN3K contains 3,493 grayscale thyroid ultrasound images from 2,421 patients. Samples were selected from more than 30,000 candidate images and may contain one or multiple nodules. The public release is intended for thyroid-nodule segmentation; a benign/malignant classification label should not be assumed for TN3K merely because some project code or related repositories contain classification utilities."
0106,SegThy,SegThy Dataset,,2022,01,Thyroid,Thyroid,Thyroid gland,B-mode | MRI,3D,sweep,volume,participant=214,segmentation | measurements,segmentation | measurement,,open,CC BY,Tracked 3D Ultrasound and Deep Neural Network-Based Thyroid Segmentation Reduce Interobserver Variability in Thyroid Volumetry,PLOS ONE,10.1371/journal.pone.0268550,Technical University of Munich,https://www.cs.cit.tum.de/en/camp/publications/segthy-dataset/,,,primary,,,verified,2026-09-04,"SegThy contains two related cohorts totaling 214 participants. Sub-dataset 1 contains 28 healthy volunteers with tracked 3D ultrasound and MRI, whereas sub-dataset 2 contains 186 clinical thyroid patients with tracked 3D ultrasound. The associated PLOS ONE volumetry study focuses on the 28-volunteer cohort."
0107,Thyroid Ultrasound Cine-clip,Thyroid Ultrasound Cine-clip,TUSC | Stanford Thyroid Ultrasound Cine-clip,2022,01,Thyroid,Thyroid,Thyroid nodule,B-mode,2D,cine,video,patient=167 | lesion=192 | video=192 | frame=17412,classification | segmentation | grading,segmentation | classification | grading,,application,,Toward Reduction in False-Positive Thyroid Nodule Biopsies with a Deep Learning-Based Risk Stratification System Using US Cine-Clip Images,Radiology: Artificial Intelligence,10.1148/ryai.210174,Stanford Center for Artificial Intelligence in Medicine & Imaging,https://aimi.stanford.edu/datasets/thyroid-ultrasound-cine-clip,10.71718/7m5n-rh16,,primary,,,verified,2026-09-04,"The dataset contains 192 biopsy-confirmed thyroid nodules from 167 patients and 17,412 cine frames. In addition to radiologist-annotated nodule segmentations, it provides demographics, lesion size and location, ACR TI-RADS descriptors, and histopathological diagnoses. The associated paper was published in Radiology: Artificial Intelligence with DOI 10.1148/ryai.210174; the separate DOI 10.71718/7m5n-rh16 identifies the dataset resource."
0108,TN5000,TN5000: An Ultrasound Image Dataset for Thyroid Nodule Detection and Classification,,2025,01,Thyroid,Thyroid,Thyroid nodule,B-mode,2D,static,image,image=5000,classification | detection,detection | classification,image: training=3500 | validation=500 | test=1000,open,CC BY,TN5000: An Ultrasound Image Dataset for Thyroid Nodule Detection and Classification,Scientific Data,10.1038/s41597-025-05757-4,Springer Nature Figshare,https://springernature.figshare.com/articles/dataset/TN5000_An_Ultrasound_Image_Dataset_for_Thyroid_Nodule_Detection_and_Classification/28455641,10.6084/m9.figshare.28455641,,primary,,,verified,2026-09-04,"TN5000 contains 5,000 B-mode thyroid nodule images selected from more than 30,000 candidate images. Each image contains at least one discernible nodule and is distributed with PASCAL VOC-compatible bounding-box annotations and benign/malignant labels confirmed by FNA biopsy and pathological results. The official split is 3,500 training, 500 validation, and 1,000 test images."
0109,3DThyroid,Thyroid Segmentation in Ultrasonography Dataset,TSUD,2017,01,Thyroid,Thyroid,Thyroid gland,B-mode,3D,sweep,volume,volume=16,segmentation,segmentation,,open,,Comparison of thyroid segmentation techniques for 3D ultrasound,SPIE Medical Imaging,10.1117/12.2254234,OpenCAS,https://archive.iar.kit.edu/opencas/index.html?q=node%2F29,,,primary,,0104,verified,2026-09-07,This is the original public 3D thyroid ultrasound resource introduced by Wunderling et al. in 2017. It contains tracked 3D ultrasound records with expert thyroid-gland ground-truth segmentations. TG3K (0104) was subsequently derived from these recordings by extracting 2D frames and retaining frames in which the thyroid gland occupies more than 6% of the image area.
0201,HC18,Head Circumference 2018 Challenge Dataset,Fetal Head Circumference Dataset,2018,02,Obstetrics,Fetus,Fetal head,B-mode,2D,static,image,patient=551 | image=1334,segmentation | measurements,segmentation | measurement,image: training=999 | test=335,open,CC BY 4.0,Automated measurement of fetal head circumference using 2D ultrasound images,PLOS ONE,10.1371/journal.pone.0200412,Zenodo,https://zenodo.org/records/1327317,10.5281/zenodo.1327317,v2,primary,,,verified,2026-09-04,"HC18 contains 1,334 fetal-head standard-plane images from 551 pregnant women. The 999-image training set includes expert-fitted ellipse outlines, pixel spacing, and head-circumference measurements in millimetres. The 335-image test set includes images and pixel spacing, while ellipse and HC ground truth are retained by the challenge organizers. The stable Zenodo concept DOI is 10.5281/zenodo.1322000; this record uses the current v2 DOI 10.5281/zenodo.1327317."
0202,FETAL_PLANES_DB,FETAL_PLANES_DB: Common Maternal-Fetal Ultrasound Images,,2020,02,Obstetrics,Fetus and maternal cervix,Fetal abdomen | Fetal brain | Fetal femur | Fetal thorax | Maternal cervix,B-mode,2D,static,image,patient=1792 | study=2087 | image=12400,classification,standard_plane_classification,,open,CC BY 4.0,Evaluation of deep convolutional neural networks for automatic classification of common maternal fetal ultrasound planes,Scientific Reports,10.1038/s41598-020-67076-5,Zenodo,https://zenodo.org/records/3904280,10.5281/zenodo.3904280,1.0,primary,,,verified,2026-09-04,"The dataset contains 12,400 routinely acquired maternal-fetal ultrasound images from 1,792 patients and 2,087 studies. Six top-level labels are provided, together with three fine-grained fetal-brain plane labels. Patient ID, ultrasound-machine ID, operator ID, and the patient-level train/test split used in the paper are included."
0203,JNU-IFM,JNU-IFM Dataset for Segmenting Pubic Symphysis-Fetal Head,,2022,02,Obstetrics,Maternal pelvis and fetus,Pubic symphysis | Fetal head,B-mode,2D,cine,sequence,patient=51 | video=78 | frame=6224,classification | segmentation,classification | segmentation,,open,CC BY 4.0,The JNU-IFM dataset for segmenting pubic symphysis-fetal head,Data in Brief,10.1016/j.dib.2022.107904,Figshare,https://figshare.com/articles/dataset/JNU-IFM/14371652,10.6084/m9.figshare.14371652,2,primary,,,verified,2026-09-04,"JNU-IFM contains 6,224 selected frames extracted from 78 intrapartum transperineal ultrasound videos from 51 pregnant women. The released data are organized as image sequences with per-frame segmentation masks and four frame-level visibility labels. Although angle-of-progression estimation is a natural downstream use, an explicit AoP ground-truth measurement is not treated here as a native annotation task."
0204,African Fetal Standard Plane Dataset,Maternal Fetal Ultrasound Planes from Low-Resource Imaging Settings in Five African Countries,,2023,02,Obstetrics,Fetus,Fetal abdomen | Fetal brain | Fetal femur | Fetal thorax,B-mode,2D,static,image,patient=125 | image=450,classification,standard_plane_classification,,open,,Generalisability of fetal ultrasound deep learning models to low-resource imaging settings in five African countries,Scientific Reports,10.1038/s41598-023-29490-3,Zenodo,https://zenodo.org/records/7540448,10.5281/zenodo.7540448,v1.0,primary,,0202,verified,2026-09-04,"This resource contains independently acquired fetal standard-plane images from five African clinical centres and is therefore treated as a primary multi-centre acquisition. The associated study evaluates cross-country generalisation and transfer learning using FETAL_PLANES_DB (atlas ID 0202) as a high-resource source domain, but domain adaptation is not encoded as a native dataset task because the direct supervision consists of fetal-plane labels. The public Zenodo metadata currently does not expose a clear dataset-specific license, so license is left null rather than inferred from the article."
0205,FPUS23,FPUS23: An Ultrasound Fetus Phantom Dataset,,2023,02,Obstetrics,Fetal phantom,Fetal head | Fetal abdomen | Fetal arms | Fetal legs,B-mode,2D,static,image,image=15728,classification | detection,standard_plane_classification | classification | detection,,open,,"FPUS23: An Ultrasound Fetus Phantom Dataset With Deep Neural Network Evaluations for Fetus Orientations, Fetal Planes, and Anatomical Features",IEEE Access,10.1109/ACCESS.2023.3284315,GitHub / Google Drive,https://github.com/bharathprabakaran/FPUS23,,,primary,,,verified,2026-09-04,"FPUS23 is a non-human fetal-phantom dataset. Diagnostic-plane labels cover 5,265 images, fetal-orientation labels cover all 15,728 images, fetal-anatomy labels cover 9,317 images, and bounding-box annotations cover 9,455 images. The GitHub repository itself carries an MIT license, while the linked source-image archive is hosted separately on Google Drive; because the image-archive license is not stated independently on the data page, access.license is left null."
0206,Fetal Abdominal Structures Segmentation Dataset,Fetal Abdominal Structures Segmentation Dataset Using Ultrasonic Images,,2023,02,Obstetrics,Fetus,Fetal abdominal aorta | Intrahepatic umbilical vein | Fetal stomach | Fetal liver,B-mode,2D,static,image,patient=169 | image=1588,segmentation,segmentation,,open,CC BY 4.0,,,,Mendeley Data,https://data.mendeley.com/datasets/4gcpm9dsc3/1,10.17632/4gcpm9dsc3.1,1,primary,,,verified,2026-09-04,"The official Mendeley record describes a cohort of 169 term pregnancies and nearly 1,500 fetal abdominal-circumference images. Public reuse studies report 1,588 released images. Images were originally stored in DICOM, converted to PNG, and annotated in 3D Slicer. The dataset does not define a native classification task or a dedicated peer-reviewed dataset paper."
0207,ACOUSLIC-AI,Abdominal Circumference Operator-agnostic UltraSound Measurement in Low-Income Countries using Artificial Intelligence,,2024,02,Obstetrics,Fetus,Fetal abdomen,B-mode,2D,sweep,sequence,case=300 | frame=252000,localization | segmentation | measurements,localization | segmentation | measurement,case: training=300 [public] | validation=10 [withheld] | test=282 [withheld],open,CC BY-NC-SA 4.0,ACOUSLIC-AI challenge report: Fetal abdominal circumference measurement on blind-sweep ultrasound data from low-income countries,Medical Image Analysis,10.1016/j.media.2025.103640,Zenodo,https://zenodo.org/records/12697994,10.5281/zenodo.12697994,1.1,primary,,,verified,2026-09-04,"The complete challenge contains 592 cases: 300 public training/development, 10 hidden validation, and 282 hidden test cases. Only the 300-case training set is distributed through Zenodo. Version 1.1 corrects circumference measurements that were too large by a factor of two in version 1.0."
0208,PSFHS,PSFHS: Intrapartum Ultrasound Image Dataset for AI-based Segmentation of Pubic Symphysis and Fetal Head,,2024,02,Obstetrics,Maternal pelvis,Pubic symphysis | Fetal head,B-mode,2D,static,image,patient=1124 | image=1358,segmentation,segmentation,,open,CC BY 4.0,PSFHS: Intrapartum ultrasound image dataset for AI-based segmentation of pubic symphysis and fetal head,Scientific Data,10.1038/s41597-024-03266-4,Zenodo,https://zenodo.org/records/10969427,10.5281/zenodo.10969427,V1,primary,,0203,verified,2026-09-04,"PSFHS provides image/ground-truth-mask pairs only. The Scientific Data paper demonstrates that angle of progression (AoP) can be calculated from the final PS/FH segmentation masks and reports an average AoP of 98.33° ± 21.11°, but the public Zenodo archive contains the images and segmentation labels rather than a separate AoP ground-truth table. AoP measurement is therefore treated as a derived use rather than a native dataset task."
0209,FOCUS,FOCUS: Four-chamber Ultrasound Image Dataset for Fetal Cardiac Biometric Measurement,,2025,02,Obstetrics,Fetus,Fetal heart | Fetal thorax,B-mode,2D,static,image,patient=217 | image=300,segmentation | detection | measurements,segmentation | detection | measurement,image: training=250 | test=50,open,CC BY 4.0,,,,Zenodo,https://zenodo.org/records/14597550,10.5281/zenodo.14597550,1.0,derived,0202,,verified,2026-09-04,"FOCUS was constructed from the public FETAL_PLANES_DB resource and adds fetal-heart and thoracic ellipse annotations, DOTA-format rotated boxes, segmentation masks, and biometric information. It is therefore classified as a derived dataset with parent 0202 rather than as an independent primary acquisition family. No dedicated peer-reviewed dataset paper was identified."
0210,Maternal-Fetal Ultrasound Video Dataset,Maternal-Fetal Ultrasound Video Dataset for End-to-end Intrapartum Biometry and Multi-task Learning,,2025,02,Obstetrics,Maternal pelvis,Pubic symphysis | Fetal head,B-mode,2D,cine,video,patient=774 | video=774 | frame=68106,classification | segmentation | landmarks | measurements,standard_plane_classification | segmentation | landmark_detection | measurement,video: training=434 | validation=40 | test=300,open,CC BY 4.0,Maternal-Fetal Ultrasouno Video Dataset for End-to-end Intrapartum Biometry and Multi-task Learning,Scientific Data,10.1038/s41597-026-06900-5,Zenodo,https://zenodo.org/records/17655183,10.5281/zenodo.17655183,V3,primary,,0203 | 0208,verified,2026-09-04,"The public dataset was released on Zenodo in 2025 and subsequently described in Scientific Data in 2026. It contains 774 videos from 774 pregnant women across three institutions and devices. Landmark coordinates and derived AoP/HSD parameters are stored in landmark.json files, so biometry is treated as a native annotation task. The paper title contains the published spelling ""Ultrasouno""."
0301,CAMUS,CAMUS,,2019,03,Cardiac,Heart,Apical two-chamber view | Apical four-chamber view | Left ventricle | Left atrium,B-mode,2D,sequence,sequence,patient=500,segmentation | measurements | quality,segmentation | measurement | quality_assessment,,open,CC BY-NC-SA 4.0,Deep Learning for Segmentation using an Open Large-Scale Dataset in 2D Echocardiography,IEEE Transactions on Medical Imaging,10.1109/TMI.2019.2900516,CREATIS / Human Heart Project,https://www.creatis.insa-lyon.fr/Challenge/camus/,,,primary,,,verified,2026-09-02,"CAMUS contains 2D echocardiographic sequences from 500 patients in apical two- and four-chamber views. Expert annotations are provided at end diastole and end systole. The structured tasks encode the native segmentation, cardiac-function measurement, and image-quality annotations rather than the broader downstream analyses that can be derived from them."
